,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,6,6,6,aide,help
6,7,7,7,demande,request
7,8,9,9,frère,brother
8,9,10,10,laisser,let
9,10,11,11,car,because
10,11,13,13,laisse,leash
11,12,14,14,eux,them
12,14,16,16,chaque,each
13,15,18,18,arrivé,come
14,16,19,19,devrait,should
15,17,20,20,bébé,baby
16,19,23,23,vont,will
17,20,24,24,pendant,while
18,21,25,25,revoir,meet again
19,22,26,26,aucune,any
20,23,27,27,place,square
21,24,28,28,parle,speak
22,25,29,29,compris,understood
23,26,30,30,savais,knew
24,27,31,31,étaient,were
25,28,32,32,attention,Warning
26,29,34,34,pourrais,could
27,30,35,35,affaire,case
28,31,36,36,type,type
29,33,38,38,donné,given
30,34,39,39,train,train
31,35,40,40,corps,body
32,36,41,41,endroit,place
33,37,42,42,yeux,eyes
34,38,43,43,façon,way
35,39,44,44,écoute,listen
36,40,45,45,dont,whose
37,41,46,46,trouve,find
38,42,47,47,premier,first
39,43,48,48,main,hand
40,44,49,49,première,first
41,45,50,50,côté,side
42,46,51,51,pouvoir,power
43,47,52,52,vieux,old
44,48,53,53,sois,be
45,49,54,54,tiens,here
46,50,55,55,matin,morning
47,51,56,56,enfant,child
48,52,57,57,point,point
49,53,58,58,venu,came
50,54,59,59,suite,after
51,57,62,62,devant,in front of
52,58,63,63,vers,towards
53,59,64,64,minutes,minutes
54,60,65,65,demandé,request
55,61,66,66,chambre,bedroom
56,62,68,68,belle,beautiful
57,63,69,69,droit,law
58,65,72,72,mari,husband
59,66,73,73,cause,cause
60,67,74,74,enfin,finally
61,68,75,75,espère,hope
62,69,76,76,eau,water
63,70,77,77,attendez,Wait
64,71,78,78,parti,left
65,72,79,79,nouvelle,new
66,73,80,80,boulot,job
67,74,81,81,arrêter,Stop
68,75,82,83,terre,Earth
69,76,83,84,compte,account
70,77,84,85,donne,given
71,79,86,87,fin,end
72,80,87,88,croire,believe
73,81,88,89,gros,large
74,82,89,90,plutôt,rather
75,83,90,91,aura,will have
76,84,92,93,jouer,to play
77,85,93,94,bureau,office
